"","Tranche2CDSValue_0.0005","Tranche2CDSValue_0.0008","Tranche2CDSValue_0.0012","Tranche2CDSValue_0.0016","Tranche2CDSValue_0.0028","Date"
"79",239072.017916461,-940901.73592716,-2514200.07438532,-4087498.41284348,-8807393.42821796,2005-05-04
"80",272336.878804206,-904152.38754723,-2472804.74268248,-4041457.09781773,-8747414.16322347,2005-05-05
"81",322462.014838947,-862012.470587022,-2441311.78448831,-4020611.09838961,-8758509.04009348,2005-05-06
"82",361376.043986653,-820236.496990813,-2395719.88496077,-3971203.27293072,-8697653.43684058,2005-05-09
"83",443687.540702009,-743614.107892261,-2326682.97268462,-3909751.83747698,-8658958.43185406,2005-05-10
"84",503766.858522408,-699949.934676758,-2304905.65894231,-3909861.38320787,-8724728.55600453,2005-05-11
"85",565144.991894875,-636835.302671707,-2239475.69542715,-3842116.08818259,-8650037.26644892,2005-05-12
"86",638213.475502177,-562837.224732038,-2164238.15837766,-3765639.09202328,-8569841.89296014,2005-05-13
"87",707347.147693255,-503333.718787778,-2117574.87409582,-3731816.02940387,-8574539.495328,2005-05-16
"88",771534.096392878,-438176.253471531,-2051123.38662407,-3664070.51977662,-8502911.91923425,2005-05-17
"89",850670.939138908,-346690.940797893,-1943173.4473803,-3539655.9539627,-8329103.4737099,2005-05-18
"90",911444.147500482,-294619.829848949,-1902705.13298152,-3510790.4361141,-8335046.34551182,2005-05-19
"91",941934.471737646,-257243.700549326,-1856147.93026529,-3455052.15998125,-8251764.84912914,2005-05-20
"92",992656.535138185,-204915.164908157,-1801677.43163661,-3398439.69836507,-8188726.49855044,2005-05-24
"93",1059690.15121901,-149535.703957124,-1761836.84419196,-3374137.9844268,-8211041.40513132,2005-05-25
"94",1063708.55654825,-155240.719492349,-1780506.42087982,-3405772.12226728,-8281569.22642969,2005-05-26
"95",1071833.7860453,-153854.175769907,-1788104.79152352,-3422355.40727713,-8325107.25453796,2005-05-27
"96",1054052.25146771,-172278.159665649,-1807385.37451012,-3442492.5893546,-8347814.23388802,2005-05-30
"97",1019237.73816486,-214994.942601816,-1860638.51695738,-3506282.09131295,-8443212.81437965,2005-05-31
"98",960290.0742473,-262115.135460655,-1891988.7484046,-3521862.36134854,-8411483.20018036,2005-06-01
"99",911133.079223823,-308509.718457007,-1934700.11536478,-3560890.51227256,-8439461.70299588,2005-06-02
"100",879774.937504994,-321903.043968325,-1924140.35259942,-3526377.66123051,-8333089.58712379,2005-06-03
"101",881832.26188604,-329588.013602918,-1944815.04758819,-3560042.08157347,-8405723.1835293,2005-06-06
"102",845936.404874136,-368072.835460278,-1986751.82257283,-3605430.80968538,-8461467.77102304,2005-06-07
"103",825797.930530153,-385723.715109037,-2001085.90929462,-3616448.10348021,-8462534.68603696,2005-06-08
"104",830805.424667134,-368276.166886587,-1967051.62229155,-3565827.07769651,-8362153.44391139,2005-06-09
"105",859819.533809767,-350833.397025521,-1965037.30480591,-3579241.21258629,-8421852.93592745,2005-06-10
"106",874052.336207004,-335990.717384415,-1949381.45550631,-3562772.1936282,-8402944.40799387,2005-06-13
"107",905202.748418529,-315099.529649803,-1942169.23374091,-3569238.93783202,-8450448.05010535,2005-06-14
"108",931576.528319181,-287388.926012946,-1912676.19845578,-3537963.47089862,-8413825.28822713,2005-06-15
"109",962266.481997459,-263583.986652719,-1898051.27818629,-3532518.56971986,-8435920.44432057,2005-06-16
"110",977603.294571407,-245507.462627923,-1876321.80556036,-3507136.1484928,-8399579.17729012,2005-06-17
"111",1018215.19991384,-205441.041888376,-1836982.69762466,-3468524.35336095,-8363149.32056981,2005-06-20
"112",1080865.41220638,-114016.676633955,-1707192.79508774,-3300368.91354152,-8079897.26890286,2005-06-21
"113",1140455.45682898,-55934.8859038979,-1651122.00954774,-3246309.13319157,-8031870.50412308,2005-06-22
"114",1198768.43749088,7643.20875398451,-1580523.76289521,-3168690.7345444,-7933191.64949198,2005-06-23
"115",1232050.38115815,44128.3136253214,-1539767.77641845,-3123663.86646223,-7875352.13659356,2005-06-24
"116",1246602.32088016,69004.5821974866,-1501125.73604608,-3071256.05428964,-7781647.00902034,2005-06-27
"117",1220911.26524559,26818.9912074491,-1565304.04084341,-3157427.07289426,-7933796.16904683,2005-06-28
"118",1175967.06861417,-49860.2183265738,-1684296.60091424,-3318732.9835019,-8222042.1312649,2005-06-29
"119",1149556.9447642,-85033.4539006142,-1731153.98545371,-3377274.5170068,-8315636.11166607,2005-06-30
"120",1082421.18868823,-145970.27644306,-1783825.56328479,-3421680.85012651,-8335246.71065169,2005-07-04
"121",1030622.44239164,-205264.256777785,-1853113.18900368,-3500962.12122958,-8444508.91790728,2005-07-05
"122",999545.834285063,-225994.243651854,-1860047.68090108,-3494101.1181503,-8396261.42989797,2005-07-06
"123",946884.631585013,-245982.294605022,-1836471.52952507,-3426960.76444511,-8198428.46920525,2005-07-07
"124",882096.390350395,-307108.179467226,-1892714.27255739,-3478320.36564755,-8235138.64491803,2005-07-08
"125",889748.444604455,-307548.147527789,-1903943.60370411,-3500339.05988044,-8289525.42840942,2005-07-11
